id,year,district_code,district_name,dong_code,dong_name,lot_type_code,lot_type,main_no,sub_no,building_name,contract_day,price,arch_area,land_area,floor,built_year,housing_type,deal_type,address,latitude,longitude
735,2025,11215,광진구,10500,자양동,1,대지,695,0,한양,2025-05-17,2780000000,157.87,0.0,10.0,1983.0,아파트,중개거래,서울특별시 광진구 자양동 0695-0000 한양,37.531444176204,127.091000782641
736,2025,11215,광진구,10300,구의동,1,대지,596,4,한양강변빌라트,2025-02-15,750000000,55.03,32.0,4.0,2023.0,연립다세대,중개거래,서울특별시 광진구 구의동 0596-0004 한양강변빌라트,37.533849556285,127.090207194873
737,2025,11215,광진구,10500,자양동,1,대지,663,10,한양센트빌,2025-03-11,580000000,46.4,27.0,2.0,2008.0,연립다세대,중개거래,서울특별시 광진구 자양동 0663-0010 한양센트빌,37.5302849793868,127.083136923799
738,2025,11215,광진구,10500,자양동,1,대지,774,6,한양에버빌,2024-12-10,720000000,35.11,30.0,6.0,2023.0,연립다세대,직거래,서울특별시 광진구 자양동 0774-0006 한양에버빌,37.5380705854115,127.079518298336
739,2025,11215,광진구,10500,자양동,1,대지,628,13,한양에버빌(628-13),2025-05-01,445000000,50.47,26.0,2.0,2016.0,연립다세대,중개거래,서울특별시 광진구 자양동 0628-0013 한양에버빌(628-13),37.534581591478,127.083379743514
740,2025,11215,광진구,10500,자양동,1,대지,774,3,한양에버빌V,2025-03-29,500000000,29.85,17.0,5.0,2021.0,연립다세대,중개거래,서울특별시 광진구 자양동 0774-0003 한양에버빌V,37.5380705854115,127.079518298336
741,2025,11215,광진구,10100,중곡동,1,대지,247,21,한양팰리스,2025-06-13,580000000,41.31,31.0,5.0,2021.0,연립다세대,중개거래,서울특별시 광진구 중곡동 0247-0021 한양팰리스,37.5633798073673,127.077753807012
742,2025,11215,광진구,10500,자양동,1,대지,589,7,한양팰리스(589-7),2025-01-03,470000000,36.77,22.0,6.0,2017.0,연립다세대,중개거래,서울특별시 광진구 자양동 0589-0007 한양팰리스(589-7),37.5307091135724,127.073581706558
743,2025,11215,광진구,10500,자양동,1,대지,662,16,한양팰리스(662-16),2025-05-22,730000000,47.91,30.0,2.0,2019.0,연립다세대,중개거래,서울특별시 광진구 자양동 0662-0016 한양팰리스(662-16),37.5311678984977,127.083097061463
744,2025,11215,광진구,10300,구의동,1,대지,60,51,한양하이츠빌라,2025-07-02,302000000,50.22,30.0,1.0,1991.0,연립다세대,중개거래,서울특별시 광진구 구의동 0060-0051 한양하이츠빌라,37.5470782727742,127.091418562914
